Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Helsingborg A;62040;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-09-01 00:00:00;2018-05-01 15:00:00;43.0;56.0304;12.7653

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;23.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;117.3;Y;;Tidsperiod (fr.o.m.) = 1995-09-01 00:00:00 (UTC)
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;47.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;39.9;Y;;Värdet är summerat över = 1 månad
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;21.3;Y;;
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;4.1;Y;;Kvalitetskoderna:
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;23.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;13.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;17.8;Y;;
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;103.7;Y;;Orsaker till saknade data:
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;19.1;Y;;  stationen eller givaren har varit ur funktion.
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;56.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;55.9;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;37.1;Y
